food_item,calories,protein,carbs,fats,saturated_fat,fiber,category,type
Birthday Cake Pop,180.0,1.0,24.0,9.0,5.0,0.0,"Loaves, Coffee Cakes & Cake Pops",veg
Blueberry Yogurt and Honey Muffin,380.0,6.0,53.0,16.0,4.0,1.0,"Loaves, Coffee Cakes & Cake Pops",veg
Blueberry Scone,360.0,5.0,50.0,15.0,9.0,2.0,"Loaves, Coffee Cakes & Cake Pops",veg
Cranberry Orange Scone,420.0,6.0,64.0,15.0,9.0,1.0,"Loaves, Coffee Cakes & Cake Pops",veg
Pumpkin Cream Cheese Muffin,350.0,5.0,53.0,14.0,4.0,1.0,Seasonal Bakery Offerings,veg
Pumpkin Bread,410.0,6.0,63.0,15.0,2.5,2.0,Seasonal Bakery Offerings,veg
Pumpkin Scone,450.0,4.0,64.0,21.0,14.0,2.0,Seasonal Bakery Offerings,veg
Apple Poundcake,360.0,5.0,44.0,18.0,10.0,2.0,Seasonal Bakery Offerings,veg
Pumpkin Sugar Cookie,330.0,4.0,37.0,19.0,12.0,0.0,Seasonal Bakery Offerings,veg
Pecan Tart,330.0,4.0,39.0,18.0,8.0,1.0,Seasonal Bakery Offerings,veg
Greek Yogurt & Honey Parfait,310.0,13.0,36.0,12.0,6.0,2.0,Fruit & Yogurt,veg
Strawberry Blueberry Yogurt Parfait,310.0,10.0,51.0,5.0,1.0,3.0,Fruit & Yogurt,veg
Seasonal Fruit Cup,80.0,1.0,20.0,0.0,0.0,3.0,Fruit & Yogurt,veg
McVeggie™ Burger,402.05,10.24,56.54,13.83,5.34,2.0,REGULAR MENU,non-veg
McAloo Tikki Burger®,339.52,8.5,50.27,11.31,4.27,2.0,REGULAR MENU,veg
McSpicy™ Paneer Burger,652.76,20.29,52.33,39.45,17.12,3.0,REGULAR MENU,veg
Spicy Paneer Wrap,674.68,20.96,59.27,39.1,19.73,3.0,REGULAR MENU,veg
American Veg Burger,512.17,15.3,56.96,23.45,10.51,3.0,REGULAR MENU,veg
Veg Maharaja Mac,832.67,24.17,93.84,37.94,16.83,3.0,REGULAR MENU,veg
Green Chilli Aloo Naan,356.09,7.91,46.36,15.08,6.11,3.0,REGULAR MENU,veg
Pizza Puff,228.21,5.45,24.79,11.44,5.72,3.0,REGULAR MENU,veg
Mc chicken Burger,400.8,15.66,47.98,15.7,5.47,2.0,REGULAR MENU,non-veg
FILLET-O-FISH Burger,348.11,15.44,38.85,14.16,5.79,3.0,REGULAR MENU,non-veg
Mc Spicy Chicken Burger,451.92,21.46,46.08,19.36,7.63,2.0,REGULAR MENU,non-veg
Spicy Chicken Wrap,567.19,23.74,57.06,26.89,12.54,2.0,REGULAR MENU,non-veg
Chicken Maharaja Mac,689.12,34.0,55.39,36.69,10.33,2.0,REGULAR MENU,non-veg
American Chicken Burger,446.95,20.29,38.54,22.94,7.28,3.0,REGULAR MENU,non-veg
Chicken Kebab Burger,357.05,8.64,47.9,14.02,4.84,3.0,REGULAR MENU,non-veg
Green Chilli Kebab naan,230.95,5.67,31.06,9.32,3.27,2.0,REGULAR MENU,veg
Mc Egg Masala Burger,290.42,12.45,32.89,12.27,3.64,2.0,REGULAR MENU,non-veg
Mc Egg Burger for Happy Meal,282.98,12.29,31.32,12.21,3.63,2.0,REGULAR MENU,non-veg
Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3,26.91,77.47,29.2,5.08,2.0,REGULAR MENU,non-veg
McSpicy Fried Chicken 1 pc,248.76,17.33,12.7,14.29,2.82,2.0,REGULAR MENU,non-veg
4 piece Chicken McNuggets,169.68,10.03,10.5,9.54,4.45,3.0,REGULAR MENU,non-veg
6 piece Chicken McNuggets,254.52,15.04,15.74,14.3,6.68,3.0,REGULAR MENU,non-veg
9 piece Chicken McNuggets,381.77,22.56,23.62,21.46,10.02,3.0,REGULAR MENU,non-veg
2 piece Chicken Strips,164.44,10.17,2.68,12.38,11.41,3.0,REGULAR MENU,non-veg
3 piece Chicken Strips,246.65,15.26,4.02,18.57,17.12,3.0,REGULAR MENU,non-veg
5 piece Chicken Strips,411.09,25.43,0.73,28.54,0.15,3.0,REGULAR MENU,non-veg
Regular Fries,224.59,3.38,27.08,10.39,4.97,3.0,REGULAR MENU,veg
Medium Fries,317.92,4.79,38.34,14.7,7.04,3.0,REGULAR MENU,veg
Large Fries,449.17,6.76,54.16,20.77,9.95,3.0,REGULAR MENU,veg
Regular Wedges,204.65,3.97,28.74,7.15,3.39,2.0,REGULAR MENU,veg
Medium Wedges,280.05,5.44,39.33,9.79,4.64,2.0,REGULAR MENU,veg
Large Wedges,387.76,7.53,54.46,13.55,6.43,2.0,REGULAR MENU,veg
L1 Coffee,6.8,0.0,1.7,0.0,0.0,0.0,REGULAR MENU,veg
L1 Coffee with milk,35.8,1.0,1.6,2.0,1.2,0.0,REGULAR MENU,veg
Double Chocochips Muffin,341.68,5.13,40.13,17.28,7.14,4.0,REGULAR MENU,veg
